,Pclass,Sex,Age,n_family,Fare,Embarked,y
844,3,male,17.0,0,8.6625,S,no
845,3,male,42.0,0,7.55,S,no
847,3,male,35.0,0,7.8958,C,no
848,2,male,28.0,1,33.0,S,no
850,3,male,4.0,6,31.275,S,no
851,3,male,74.0,0,7.775,S,no
852,3,female,9.0,2,15.2458,C,no
853,1,female,16.0,1,39.4,S,yes
854,2,female,44.0,1,26.0,S,no
855,3,female,18.0,1,9.35,S,yes
856,1,female,45.0,2,164.8667,S,yes
857,1,male,51.0,0,26.55,S,yes
858,3,female,24.0,3,19.2583,C,yes
860,3,male,41.0,2,14.1083,S,no
861,2,male,21.0,1,11.5,S,no
862,1,female,48.0,0,25.9292,S,yes
864,2,male,24.0,0,13.0,S,no
865,2,female,42.0,0,13.0,S,yes
866,2,female,27.0,1,13.8583,C,yes
867,1,male,31.0,0,50.4958,S,no
869,3,male,4.0,2,11.1333,S,yes
870,3,male,26.0,0,7.8958,S,no
871,1,female,47.0,2,52.5542,S,yes
872,1,male,33.0,0,5.0,S,no
873,3,male,47.0,0,9.0,S,no
874,2,female,28.0,1,24.0,C,yes
875,3,female,15.0,0,7.225,C,yes
876,3,male,20.0,0,9.8458,S,no
877,3,male,19.0,0,7.8958,S,no
879,1,female,56.0,1,83.1583,C,yes
880,2,female,25.0,1,26.0,S,yes
881,3,male,33.0,0,7.8958,S,no
882,3,female,22.0,0,10.5167,S,no
883,2,male,28.0,0,10.5,S,no
884,3,male,25.0,0,7.05,S,no
885,3,female,39.0,5,29.125,Q,no
886,2,male,27.0,0,13.0,S,no
887,1,female,19.0,0,30.0,S,yes
889,1,male,26.0,0,30.0,C,yes
890,3,male,32.0,0,7.75,Q,no
